English;Japanese;Number;Primary;Secondary;Evolves from;Evolves into;Notes
Raticate;Ratta (ラッタ);20;Normal;None;Rattata (#019);End of evolution;Raticate commands groups of Rattatas to gather food. Like Rattata, it has to whittle its teeth down, but as its teeth are much stronger, it requires harder objects such as steel and rocks. Like Rattata, Raticate has an Alolan form that is a Dark/Normal type.
Spearow;Onisuzume (オニスズメ);21;Normal;Flying;Beginning of evolution;Fearow (#022);It eats bugs in grasslands and has to flap its short wings at high-speed to stay airborne. Spearows have short temperaments, and tend to swarm perceived enemies in large flocks. Ash Ketchum attempted to catch a Spearow without the help of his Pikachu, leading to a rather disastrous start of his journey.
Fearow;Onidoriru (オニドリル);22;Normal;Flying;Spearow (#021);End of evolution;Fearow is a lanky and awkward bird. Its English name is a portmanteau of "fear" and "sparrow". Fearow are large birds that can fly at extremely high altitudes for long periods of time.
Ekans;Ābo (アーボ);23;Poison;None;Beginning of evolution;Arbok (#024);Its English name is "snake" spelled backwards. Ekans tends to coil itself, for protection while it sleeps Ekans was Team Rocket member Jessie's starter Pokémon.
Arbok;Ābokku (アーボック);24;Poison;None;Ekans (#023);End of evolution;Jessie, a member of Team Rocket, owned an Arbok for the Kanto, Johto, and a small portion of the Advanced Generation series of the Pokémon anime. The pattern on its chest is changes everywhere it lives. It is hard to escape from its coil as it is so strong, it can crush a steel drum by constricting it. Its English name is "kobra" (which is pronounced the same as "cobra") spelled backwards.
Pikachu;Pikachū (ピカチュウ);25;Electric;None;Pichu (#172);Raichu (#026)Gigantamax;Pikachu is the primary mascot of the Pokémon franchise, as well as Pokémon Yellow and Let's Go, Pikachu!. It is also playable in every Super Smash Bros. game. Its Gigantamax form looks like its old sprite from Red and Blue with a glowing, whitish tail. It raises its tail to check its surroundings and it sometimes gets struck by lightning in that pose. If Pikachu sees something new, it will shock it with electricity. When you will see blackened marks on the ground, you will find out that Pikachu had mistook its electrical power.
Raichu;Raichū (ライチュウ);26;Electric;None;Pikachu (#025);End of evolution;Unlike Pikachu, It is orange. Its tail is skinny and has a lightning bolt at the end. A female’s tail lacks a point. It can store over 100,000 volts of electricity. A single attack from this Pokemon is strong enough to knock out a Copperajah. Raichu has an Alolan form that is an Electric/Psychic type. Raichu and Alolan Raichu were created by Atsuko Nishida.
Sandshrew;Sando (サンド);27;Ground;None;Beginning of evolution;Sandslash (#028);Based on the Chinese pangolin, Sandshrew is known to curl into a ball to defend itself. It burrows nests into the ground Sandshrew has an Alolan form that is a Steel/Ice type.
Sandslash;Sandopan (サンドパン);28;Ground;None;Sandshrew (#027);End of evolution;Sandslash has the ability to curl into a spiny ball to attack or escape other Pokemon. Like Sandshrew, Sandslash has an Alolan form that is a Steel/Ice type. It climbs trees with its sharp claws. Sandslash shares the berries it gathers, dropping them down to Sandshrew.
Nidoran♀;Nidoran♀ (ニドラン♀);29;Poison;None;Beginning of evolution;Nidorina (#030);It is related to the Nidoran♂ line and can produce eggs that contain either Nidoran♀ or Nidoran♂. It is less aggressive than its male counterpart, with a less threatening horn.
Nidorina;Nidorīna (ニドリーナ);30;Poison;None;Nidoran♀ (#029);Nidoqueen (#031);If a group is threatened, these Pokémon will band together to assault enemies with ultrasonic waves. The horn on its head has atrophied.
Nidoqueen;Nidokuin (ニドクイン);31;Poison;Ground;Nidorina (#030);End of evolution;It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present. Its hide is so strong, not much can hurt it. It can only evolve using a Moon Stone.
Nidoran♂;Nidoran♂ (ニドラン♂);32;Poison;None;Beginning of evolution;Nidorino (#033);It was the third Pokémon to be created, after Rhydon and Kangaskhan were created. This version of Nidoran (and its evolutions) are more aggressive and have larger spines than their female counterpart.
Nidorino;Nidorīno (ニドリーノ);33;Poison;None;Nidoran♂ (#032);Nidoking (#034);The evolution of the Nidoran♂. It is most famous for being the first Pokemon seen when a Generation I game is played, appearing in the opening cut scene.
Nidoking;Nidokingu (ニドキング);34;Poison;Ground;Nidorino (#033);End of evolution;Based on Baragon from the Godzilla franchise, it fights to protect its family and offspring. Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower
Clefairy;Pippi (ピッピ);35;Fairy;None;Cleffa (#173);Clefable (#036);Clefairy was originally proposed to be joint mascot of the Pokémon franchise alongside Pikachu, but was quickly overshadowed by the latter's popularity. Timid creatures, they rarely come, only appearing under a full moon. People love Clefairy for its cuteness but it's too rare to be found often.
Clefable;Pikushī (ピクシー);36;Fairy;None;Clefairy (#035);End of evolution;It is rarely seen by people. Clefable walks around on moonlit nights, skipping lightly as if in flight, allowing it to walk on water. It has an extremely sharp sense of hearing its sensitive ears allow it to detect a pin drop from a mile away.
Vulpix;Rokon (ロコン);37;Fire;None;Beginning of evolution;Ninetales (#038);When a Vulpix is born, it only has one white tail that splits into six tails as it grows. Vulpix has an Alolan form that is an Ice type. Vulpix has also been selected as a "mascot" for Hokkaido, and is featured in the livery of an Air Do Boeing 767 aircraft.
Ninetales;Kyūkon (キュウコン);38;Fire;None;Vulpix (#037);End of evolution;Its design is inspired by the nine-tailed fox of East Asian myth. Like Vulpix, Ninetales has an Alolan form, granting it the Ice/Fairy typing. Ninetales are considered to be beasts of great power and said to live very long lives. Grabbing one of its tails without permission grants a 1,000 year curse—or so it is said.
Jigglypuff;Purin (プリン);39;Normal;Fairy;Igglybuff (#174);Wigglytuff (#040);It is a playable character in every Super Smash Bros. game. Jigglypuff appears in the anime frequently as a running gag where it always tries to sing for an audience but puts everyone to sleep with Sing instead. When this happens, it uses the marker that is part of the microphone it carries around to draw silly faces on people.
Wigglytuff;Pukurin (プクリン);40;Normal;Fairy;Jigglypuff (#039);End of evolution;Wigglytuff's body is very flexible. By inhaling deeply, it can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly with the wind.
Zubat;Zubatto (ズバット);41;Poison;Flying;Beginning of evolution;Golbat (#042);Zubat is blind and uses echolocation to see. Zubats are part of a popular meme within the franchise main due to the fact Zubat is the most commonly encountered Pokémon. Being present in almost every cave or underground area.
Golbat;Gorubatto (ゴルバット);42;Poison;Flying;Zubat (#041);Crobat (#169);Golbat loves to drink blood, it can drink so much that it becomes unable fly. Unlike Zubat, Golbat have eyes, feet, and a large gaping mouth.
Oddish;Nazonokusa (ナゾノクサ);43;Grass;Poison;Beginning of evolution;Gloom (#044);It buries itself in the soil to absorb the nutrients. The more water it drinks, the glossier it becomes. Oddish are nocturnal by nature and mainly wander at night to spread their seeds.
Gloom;Kusaihana (クサイハナ);44;Grass;Poison;Oddish (#043);Vileplume (#045)Bellossom (#182);If it senses danger it produces a horrific stench from the leaves on its head. Glooms always have a line of drool oozing from their mouths. Using the Leaf Stone evolves Gloom into Vileplume, and using the Sun Stone evolves it into Bellossom.
Vileplume;Rafureshia (ラフレシア);45;Grass;Poison;Gloom (#044);End of evolution;Vileplume has the world's largest petals. They are used to attract prey that are then doused with toxic spores. These toxic spores will leave you sick for days. Vileplume is based on the rafflesia, the world's smelliest flower.
Paras;Parasu (パラス);46;Bug;Grass;Beginning of evolution;Parasect (#047);Paras is a Bug-type Pokémon that is the host to a parasitic mushroom. As it ages, the mushroom begins to completely take over its body, evolving it into Parasect. Most of the nutrients Paras gets from feeding on plant roots are absorbed instead by the mushrooms. These mushrooms can be removed and used for medicines, however more always will grow on Paras' back later on.
Parasect;Parasekuto (パラセクト);47;Bug;Grass;Paras (#046);End of evolution;Parasects are the endpoint of a Paras' life stage, where the mushroom has fully engulfed its body, completely taking it over. It requires more energy from trees due to its larger size. It was originally called "Fungus" in early development.
Venonat;Konpan (コンパン);48;Bug;Poison;Beginning of evolution;Venomoth (#049);It is based on the gnat. Venonats are nocturnal predators which use their radar-like compound eyes to see in the dark.
Venomoth;Morufon (モルフォン);49;Bug;Poison;Venonat (#048);End of evolution;Venomoths are large violet/fuchsia-coloured moths. Its wings shed poisonous scales. These powdery scales are hard to remove from skin and contain poison that leaks out on contact.
Diglett;Diguda (ディグダ);50;Ground;None;Beginning of evolution;Dugtrio (#051);Farmers like to use Digletts to plough the soil for crops to grow plentifully. Diglett has an Alolan form that is a Ground/Steel type. No one has ever seen the full body of a Diglett.
Dugtrio;Dagutorio (ダグトリオ);51;Ground;None;Diglett (#050);End of evolution;Dugtrio is a tripled Diglett. Like Diglett, Dugtrio has an Alolan form that is a Ground/Steel type. Like Diglett, no one has ever seen the full body of a Dugtrio. Occasionally, they will fight over which head gets to eat first.
Meowth;Nyāsu (ニャース);52;Normal;None;Beginning of evolution;Persian (#053)Gigantamax;One of the main members of Team Rocket in the Pokémon anime series. Team Rocket's Meowth can speak human language as well as converse with other Pokémon. Meowth love anything shiny and will steal whatever it can. Murkrow and Meowth will loot each other's hoards of treasure. Meowth's Alolan form is a Dark type and its Galarian form is a Steel type. Its Gigantamax form is a tall, thin, long cat that has glowing eyes and a mark on its coin.
Persian;Perushian (ペルシアン);53;Normal;None;Meowth (#052);End of evolution;Persian will sneak up behind a foe silently by retracting its claws. It will then pounce and rip them to shreds. Persian's Alolan form is a Dark type and its Galarian counterpart Perrserker is a Steel type. While Meowth has a gold coin on its forehead, Persian has a red jewel. A Persian is owned by Team Rocket's leader, Giovanni in the Pokémon anime series.
Psyduck;Kodakku (コダック);54;Water;None;Beginning of evolution;Golduck (#055);It has constant headaches. When Psyduck's headache gets severe, it unleashes its psychic powers. Psyduck was originally intended to have a currently unnamed middle evolution, but it was scrapped. Psyduck in the anime series first appears belonging to Misty, and was seen as unreliable and a nuisance until it begins using its Psychic abilities.
Golduck;Gorudakku (ゴルダック);55;Water;None;Psyduck (#054);End of evolution;It was almost hunted to extinction by hunters wanting the precious jewel on its forehead. Its capabilities are superior compared to Psyduck. It swims effortlessly, even in rough, stormy seas. It is known to rescue people from wrecked ships.
Mankey;Mankī (マンキー);56;Fighting;None;Beginning of evolution;Primeape (#057);Mankey is a snub-nosed monkey-esque Pokémon that specialises in physical fighting and is very aggressive and short-tempered. When Mankey is angry, it begins shaking and its breathing turns rough. Its rage peaks quickly, preventing its victim from being able to flee.
Primeape;Okorizaru (オコリザル);57;Fighting;None;Mankey (#056);Annihilape (#979);Anything can make a Primeape's blood boil. It is not as smart when it is really mad, though. However, sometimes it can get so mad that it can die, because it couldn't handle its anger. Primeape is based on the baboon.
Growlithe;Gādi (ガーディ);58;Fire;None;Beginning of evolution;Arcanine (#059);It is a brave and loyal dog Pokémon that will bark and bite to defend its territory from intruders. Growlithe are popular throughout the Pokémon world as both guard dogs and police dogs. They are based on the Ryukyuan Shisa and Japanese Komainu lion-dog statues.
Arcanine;Uindi (ウインディ);59;Fire;None;Growlithe (#058);End of evolution;Arcanine is a fan-favourite Pokémon and among the strongest non-legendary Pokémon and has been described as having "the mane of a lion ... the stripes of a tiger [and] the speed of a panther".
Poliwag;Nyoromo (ニョロモ);60;Water;None;Beginning of evolution;Poliwhirl (#061);Poliwag is Satoshi Tajiri (the creator of the Pokémon franchise)'s favourite Pokémon. Its appearance is similar to that of which it is named, a polliwog and a tadpole. It only has a tail and two legs for movement, and the swirl on its belly is its intestines visible through its thin skin.
Poliwhirl;Nyorozo (ニョロゾ);61;Water;None;Poliwag (#060);Poliwrath (#062)Politoed (#186);Poliwhirl is among the most-marketed Pokémon, being used in a line of chewable vitamins as well as a line of toothbrushes. Poliwhirl appears as a humanoid-shaped Pokémon that has a similar appearance to Poliwag, except of having arms and no tail. It evolves into Poliwrath after using a Water Stone. It also evolves into Politoed after being traded while it holds a King's Rock.
Poliwrath;Nyorobon (ニョロボン);62;Water;Fighting;Poliwhirl (#061);End of evolution;It is capable of swimming the length of the Pacific Ocean tirelessly. It evolves from Poliwhirl after using a Water Stone. The swirl on its belly is reversed from its pre-evolutions.
Abra;Kēshii (ケーシィ);63;Psychic;None;Beginning of evolution;Kadabra (#064);Abra sleeps all of the time. Even when it is sleeping, which it does most of its life, it can sense danger with its highly potent Psychic power. When it is in danger, it will teleport to safety. Abra's teleportation is usually faster than the player's Pokémon, requiring a higher Speed stat in order to disable it before it teleports.
Kadabra;Yungerā (ユンゲラー);64;Psychic;None;Abra (#063);Alakazam (#065);Kadabra has been the source of various controversies. The symbols on its body have been associated to those used by Nazi Germany's Waffen-SS. Furthermore, in November 2000, Israeli magician Uri Gellar sued Nintendo, claiming Kadabra embodies an unauthorized appropriation of his identity. However, in 2020, he released a claim that Nintendo could use Kadabra again.
Alakazam;Fūdin (フーディン);65;Psychic;None;Kadabra (#064);Mega Evolution;Due to its brain drastically growing, causing its head to be too heavy, it actually uses its psychic power to hold its head up. Its 5000 IQ makes it a very intelligent Pokémon. It can affect nearby technology using its brainwaves. Kadabra and Alakazam were the direct counters to the Gastly line of Ghost-type Pokémon since they were dual types with Poison-type, hence weak to psychic-type moves. Throughout the series, the Abra and Gastly lines were considered rivals.
Machop;Wanrikī (ワンリキー);66;Fighting;None;Beginning of evolution;Machoke (#067);The best thing about Machop is that its muscles never get sore. It can hurl around 100 adult humans before it gets tired.
Machoke;Gōrikī (ゴーリキー);67;Fighting;None;Machop(#066);Machamp (#068);Machoke is typically used for heavy lifting jobs due to its super strength. Its appearance is similar to a WWE-style wrestler, with what appears to be exercise shorts.
Machamp;Kairikī (カイリキー);68;Fighting;None;Machoke (#067);Gigantamax;Machamp has four arms. It can throw around 1000 punches in two seconds and move mountains with one arm. It evolves from Machoke after being traded. Its Gigantamax form has glowing, orange eyes and hands and a bigger body.
Bellsprout;Madatsubomi (マダツボミ);69;Grass;Poison;Beginning of evolution;Weepinbell (#070);It is a Grass-type Pokémon with a bell-shaped head, and a vine-like body ending in root-like feet, with leaves for arms. It can plant itself into the ground to negate Electric-type moves as seen in the anime.
Weepinbell;Utsudon (ウツドン);70;Grass;Poison;Bellsprout (#069);Victreebel (#071);It has a hook on its rear-end that it hooks on trees with and sleeps. When it wakes up, it might find itself on the ground because of the wind.
Victreebel;Utsubotto (ウツボット);71;Grass;Poison;Weepinbell (#070);End of evolution;It was the last Generation I Pokémon to be created. All of Bellsprout's evolutions are based on various fly-catcher plants, with Victreebel the closest-looking one. Team Rocket's James has a Victreebel that has a habit of chewing on him.
Tentacool;Menokurage (メノクラゲ);72;Water;Poison;Beginning of evolution;Tentacruel (#073);If Tentacool isn't in the water, it will shrivel up because it is mostly water. Tentacool is a jellyfish-esque Pokémon, which later on in the franchise, is said to be fluid-filled. This fluid is toxic and damages opponents who use HP draining attacks instead of healing them.
Tentacruel;Dokukurage (ドククラゲ);73;Water;Poison;Tentacool (#072);End of evolution;Tentacruel is a large, multi-tentacled jellyfish Pokémon that has two claws or beaks and two large, red jewels on its head.
Geodude;Ishitsubute (イシツブテ);74;Rock;Ground;Beginning of evolution;Graveler (#075);Sometimes mistaken as ordinary rocks, people mistakenly step on them resulting in them getting hurt. Geodude has an Alolan form that is a Rock/Electric type, and has metal spines. It appears as an armed rock.
Graveler;Gorōn (ゴローン);75;Rock;Ground;Geodude (#074);Golem (#076);Graveler has an Alolan form that is a Rock/Electric type. It appears as a large rock that has two large arms and two small arms. This appearance suggests that the smaller arms are the old Geodude arms and the new ones emerged as it grew larger.
Golem;Gorōnya (ゴローニャ);76;Rock;Ground;Graveler (#075);End of evolution;Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon's course. Golem has an Alolan form that is a Rock/Electric type. It appears as a large boulder that has a head, arms, and legs. It can roll up into a perfectly round rock. Its Alolan form is magnetic and has a rock cannon on its shoulders.
Ponyta;Ponīta (ポニータ);77;Fire;None;Beginning of evolution;Rapidash (#078);Its Galarian form is a Psychic type. When born, it cannot stand and runs with its parents to strengthen its legs. It can choose when its flames can burn people or not.
Rapidash;Gyaroppu (ギャロップ);78;Fire;None;Ponyta (#077);End of evolution;As a popular Pokémon, Rapidash is considered "universally appealing" to fans of cute and cool Pokémon alike. Both Ponyta and Rapidash can enable their body's flames to be harmful or harmless as seen in the anime. Its Galarian form is a Psychic/Fairy type, and is pinkish purple in color instead.
Slowpoke;Yadon (ヤドン);79;Water;Psychic;Beginning of evolution;Slowbro (#080)Slowking (#199);Slowpoke eats by dipping its tail in the water. It is said to evolve into Slowbro when a Shellder attaches itself to its tail. Slowpoke tails are quite a delicacy. Its Galarian form is a Psychic type. Slowpokes typically appear to be lazy and dumb, but are quite formidable. Trading Slowpoke while it holds a King's Rock evolves it into Slowking.
Slowbro;Yadoran (ヤドラン);80;Water;Psychic;Slowpoke (#079);Mega Evolution;With Shellder's poison going through its body, it makes it even more spaced out than it already was. Its Galarian form is a Poison/Psychic type. The appearance of the Shellder is different than how they normally look. In the Gold and Silver demo, the Shellder was its own Pokemon, named Turban, before it was scrapped.
Magnemite;Koiru (コイル);81;Electric;Steel;Beginning of evolution;Magneton (#082);It was a pure Electric type in Kanto, but had the Steel type added in Gold and Silver. It appears as a metallic ball that has screws, two magnets, and an eye attached to it. It is capable of levitation.
Magneton;Reakoiru (レアコイル);82;Electric;Steel;Magnemite (#081);Magnezone (#462);Having this Pokémon near mechanical devices is a bad idea. Oftentimes, Cites will warn people to hide their electronics because Magneton produces electromagnetic waves that can ruin devices. Magneton appears as three Magnemite attached together. It evolves into Magnezone while in range of a special magnetic field or a Thunder Stone in later games.
Farfetch'd;Kamonegi (カモネギ);83;Normal;None;Flying;No evolution;Farfetch'd is a duck-like Pokémon that has a green onion-stalk for a weapon. It battles over stalks and can eats them at starving times. It will die over its own stalk and battle for the best stalks. It was originally called "Okupan" in early development and was intended to have an evolution named "Madame" in Generation II's early development. Its Galarian form is a Fighting type, appears to resemble a feudal Japan-style samurai or ronin, and uses a larger onion-stalk.
Doduo;Dōdō (ドードー);84;Normal;Flying;Beginning of evolution;Dodrio (#085);It is a Pokémon that has two heads. More skilled at running than flying, it is capable of racing at speeds over 60 mph. It was originally intended to have a pre-evolution in Generation II. It appears to resemble a two-headed ostrich or emu, mixed with a roadrunner.
Dodrio;Dōdorio (ドードリオ);85;Normal;Flying;Doduo (#084);End of evolution;The three heads express joy, sorrow, and anger as they plan strategy together. When it sleeps, one head remains awake. Dodrio are extremely fast runners. The three heads have colored feathers, which also appear as tail-feathers.
Seel;Pauwau (パウワウ);86;Water;None;Beginning of evolution;Dewgong (#087);When hunting underwater, it uses its horn to break a hole out of the ice to breathe. Its design is based on the real-life seal.
Dewgong;Jugon (ジュゴン);87;Water;Ice;Seel (#086);End of evolution;A fisherman once saw a Dewgong on an iceberg and thought it was a mermaid. Its design is based on the real-life dugong.
Grimer;Betobetā (ベトベター);88;Poison;None;Beginning of evolution;Muk (#089);It eats sewer waste for food. Its body is very slippery, so it can slip through almost any opening. It was one of the earliest Pokémon to be created, and was originally supposed to have a pre-evolution, "Betobebi", in Generation II. Grimer has an Alolan form that is a Poison/Dark type. It appears as a purple sludge, while its Alolan form is multiple colours.
Muk;Betobeton (ベトベトン);89;Poison;None;Grimer (#088);End of evolution;Muk's English name comes from the corruption of the word "muck". It is a sludge Pokémon that can also be based on Dorotabō, a one-eyed, three-fingered yōkai that rises from the mud of neglected, overgrown rice fields. Its body smells so awful, it can cause fainting. Through degeneration, it had lost its sense of smell. Muk has an Alolan form that is a Poison/Dark type. Like Grimer, Alolan Muk has multiple colours, and now razor-sharp poisonous crystal-esque teeth.
Shellder;Sherudā (シェルダー);90;Water;None;Beginning of evolution;Cloyster (#091);When it sleeps, it will still stick its tongue out. It appears as a typical clam or bivalve with a long, pink tongue.
Cloyster;Parushen (パルシェン);91;Water;Ice;Shellder (#090);End of evolution;It swims by pushing water out through its valves. It is similar to Shellder, but rotated 180 degrees. Its body looks like a black ball inside a clam's shell. It has no tongue though.
Gastly;Gōsu (ゴース);92;Ghost;Poison;Beginning of evolution;Haunter (#093);It is a Ghost-type Pokémon based on the will-o'-the-wisp and the yokai, Sōgenbi. It hides under structures to stop the wind from blowing away its gaseous matter. Though it is part-Poison, it typically doesn't learn Poison type moves naturally. It uses its signature tongue when it attacks with the Lick move.
Haunter;Gōsuto (ゴースト);93;Ghost;Poison;Gastly (#092);Gengar (#094);By licking, it saps the victim's life. It causes shaking that won't stop until the victim's demise. It appears as a menacing shadow with eyes, a mouth, and two unattached hands.
Gengar;Gengā (ゲンガー);94;Ghost;Poison;Haunter (#093);Mega Evolution Gigantamax Form;Gengar is a ghost-type Pokémon said to be the ghost of a human. The Pokédex states that it "pretend[s] to be your shadow", which references a doppelgänger, which the name "Gengar" is a reference to. Initially created by Satoshi Tajiri and Ken Sugimori, it has become one of the most popular Pokémon, placing tenth on the Google Pokémon of the Year 2020 poll. Kotaku's Zack Zwiezen said Gengar was "one of [their] favorite gen 1 designs", calling it a "great design [because] it’s simple, yet not boring or generic". Gengar has appeared in many Pokémon spin-offs or crossovers, including Pokkén Tournament and Pokémon Unite.
Onix;Iwāku (イワーク);95;Rock;Ground;Beginning of evolution;Steelix (#208);Onix is a large rock snake with a spike on its head. It can burrow tunnels underground. It evolves into Steelix when traded while holding a Metal Coat.
Drowzee;Surīpu (スリープ);96;Psychic;None;Beginning of evolution;Hypno (#097);Drowzee's design is based on the dream-eating tapir, Baku. If your nose is itchy after you awake, a Drowzee has eaten your dreams through your nose. Drowzee appears as a half-yellow-half-brown Pokémon that stands on two legs, and its size varies. In later generations, it is given the Insomnia trait, making it immune to Sleep status inflicting moves.
Hypno;Surīpā (スリーパー);97;Psychic;None;Drowzee (#096);End of evolution;Hypno's design is based on the dream-eating tapir, Baku and a hypnotist. It polishes its pendulum to more effectively put people to sleep. Try not to look at it. There is a myth within the franchise that Hypno preys on human children. This has led to Hypno becoming the subject of creepypastas. Hypno is purely yellow with a white fluffy collar mane.
Krabby;Kurabu (クラブ);98;Water;None;Beginning of evolution;Kingler (#099);As its name states, it is a crab Pokémon that is half white/tan and half orange. In the anime, it doesn't speak its name like other Pokémon and instead makes a unique noise.
Kingler;Kingurā (キングラー);99;Water;None;Krabby (#098);Gigantamax;Because its pincer is so heavy, it has a hard time fighting. When it does hit, it is very powerful. Only Kingler can use Crabhammer, due to its large claw. It shares a similarity to real life fiddler crabs. Its Gigantamax form is bigger with a beard made of bubbles. It also uses acid bubbles to dissolve its prey or foes.
